country,tier
Armenia,Tier 1
Australia,Tier 1
Austria,Tier 1
The Bahamas,Tier 1
Belgium,Tier 1
Canada,Tier 1
Chile,Tier 1
Colombia,Tier 1
Czechia,Tier 1
Denmark,Tier 1
Finland,Tier 1
France,Tier 1
Georgia,Tier 1
Germany,Tier 1
Guyana,Tier 1
Ireland,Tier 1
Israel,Tier 1
Italy,Tier 1
South Korea,Tier 1
Lithuania,Tier 1
Luxembourg,Tier 1
Netherlands,Tier 1
New Zealand,Tier 1
Norway,Tier 1
Philippines,Tier 1
Poland,Tier 1
Portugal,Tier 1
St. Maarten,Tier 1
Slovakia,Tier 1
Slovenia,Tier 1
Spain,Tier 1
Sweden,Tier 1
Switzerland,Tier 1
Taiwan,Tier 1
United Kingdom,Tier 1
United States of America,Tier 1
Afghanistan,Tier 2
Albania,Tier 2
Angola,Tier 2
Argentina,Tier 2
Aruba,Tier 2
Azerbaijan,Tier 2
Bahrain,Tier 2
Barbados,Tier 2
Bhutan,Tier 2
Bosnia & Herzegovina,Tier 2
Botswana,Tier 2
Brazil,Tier 2
Brunei,Tier 2
Cambodia,Tier 2
Costa Rica,Tier 2
Cote d’Ivoire,Tier 2
Croatia,Tier 2
Curacao,Tier 2
Cyprus,Tier 2
Dominican Republic,Tier 2
Ecuador,Tier 2
Egypt,Tier 2
El Salvador,Tier 2
Estonia,Tier 2
Ethiopia,Tier 2
Fiji,Tier 2
Greece,Tier 2
Honduras,Tier 2
Iceland,Tier 2
India,Tier 2
Indonesia,Tier 2
Jamaica,Tier 2
Japan,Tier 2
Jordan,Tier 2
Kazakhstan,Tier 2
Kenya,Tier 2
Kosovo,Tier 2
Kyrgyz Republic,Tier 2
Latvia,Tier 2
Lebanon,Tier 2
Lesotho,Tier 2
Macedonia,Tier 2
Malawi,Tier 2
Malaysia,Tier 2
Maldives,Tier 2
Malta,Tier 2
Mauritius,Tier 2
Mexico,Tier 2
Micronesia (Federated States of),Tier 2
Mongolia,Tier 2
Morocco,Tier 2
Namibia,Tier 2
Nepal,Tier 2
Palau,Tier 2
Panama,Tier 2
Paraguay,Tier 2
Peru,Tier 2
Qatar,Tier 2
Romania,Tier 2
St. Lucia,Tier 2
St. Vincent & The Grenadines,Tier 2
Seychelles,Tier 2
Sierra Leone,Tier 2
Singapore,Tier 2
Solomon Islands,Tier 2
South Africa,Tier 2
Sri Lanka,Tier 2
Tajikistan,Tier 2
Tanzania,Tier 2
Timor-Leste,Tier 2
Togo,Tier 2
Tonga,Tier 2
Trinidad & Tobago,Tier 2
Tunisia,Tier 2
Turkey,Tier 2
Uganda,Tier 2
Ukraine,Tier 2
United Arab Emirates,Tier 2
Uruguay,Tier 2
Vietnam,Tier 2
Algeria,Tier 2 Watchlist
Antigua & Barbuda,Tier 2 Watchlist
Bangladesh,Tier 2 Watchlist
Benin,Tier 2 Watchlist
Bolivia,Tier 2 Watchlist
Bulgaria,Tier 2 Watchlist
Burkina Faso,Tier 2 Watchlist
Burma,Tier 2 Watchlist
Cabo Verde,Tier 2 Watchlist
Cameroon,Tier 2 Watchlist
Chad,Tier 2 Watchlist
Cuba,Tier 2 Watchlist
Djibouti,Tier 2 Watchlist
Gabon,Tier 2 Watchlist
The Gambia,Tier 2 Watchlist
Ghana,Tier 2 Watchlist
Guatemala,Tier 2 Watchlist
Haiti,Tier 2 Watchlist
Hong Kong,Tier 2 Watchlist
Hungary,Tier 2 Watchlist
Iraq,Tier 2 Watchlist
Kuwait,Tier 2 Watchlist
Laos,Tier 2 Watchlist
Liberia,Tier 2 Watchlist
Macau,Tier 2 Watchlist
Madagascar,Tier 2 Watchlist
Marshall Islands,Tier 2 Watchlist
Moldova,Tier 2 Watchlist
Montenegro,Tier 2 Watchlist
Mozambique,Tier 2 Watchlist
Nicaragua,Tier 2 Watchlist
Niger,Tier 2 Watchlist
Nigeria,Tier 2 Watchlist
Oman,Tier 2 Watchlist
Pakistan,Tier 2 Watchlist
Papua New Guinea,Tier 2 Watchlist
Rwanda,Tier 2 Watchlist
Saudi Arabia,Tier 2 Watchlist
Senegal,Tier 2 Watchlist
Serbia,Tier 2 Watchlist
Suriname,Tier 2 Watchlist
Swaziland,Tier 2 Watchlist
Thailand,Tier 2 Watchlist
Zambia,Tier 2 Watchlist
Zimbabwe,Tier 2 Watchlist
Belarus,Tier 3
Belize,Tier 3
Burundi,Tier 3
Central African Republic,Tier 3
China (PRC),Tier 3
Comoros,Tier 3
"Congo, Democratic Republic of",Tier 3
"Congo, Republic of",Tier 3
Equatorial Guinea,Tier 3
Eritrea,Tier 3
Guinea,Tier 3
Guinea-Bissau,Tier 3
Iran,Tier 3
North Korea,Tier 3
Mali,Tier 3
Mauritania,Tier 3
Russia,Tier 3
South Sudan,Tier 3
Sudan,Tier 3
Syria,Tier 3
Turkmenistan,Tier 3
Uzbekistan,Tier 3
Venezuela,Tier 3
